ACT_score,ACT_english,ACT_math,ACT_reading,ACT_science,,SAT_score,SAT_math,SAT_reading,SAT_writing
75,36,,,,,58,800,,
74,36,,,,,57,790,,
73,35,,,,,56,780,,
72,35,,,,,55,770,,
71,34,,,,,54,760,,
70,34,,,,,53,740,,
69,33,,,,,52,730,400,
68,32,,,,,51,720,390,
67,31,,,,,50,710,380,
66,30,,,,,49,700,380,
65,30,,,,,48,690,370,
64,29,,,,,47,680,360,
63,28,,,,,46,670,360,
62,28,,,,,45,670,350,
61,27,,,,,44,660,340,400
60,26,36,,,,43,650,340,390
59,26,36,,,,42,640,330,380
58,26,35,,,,41,630,330,360
57,25,34,,,,40,620,320,350
56,25,34,,,,39,610,310,340
55,24,33,,,,38,600,310,340
54,24,33,,,,37,590,300,330
53,23,32,,,,36,580,300,320
52,23,31,,,,35,570,290,320
51,23,30,,,,34,560,290,310
50,22,30,,,,33,560,280,300
49,22,29,,,,32,550,270,300
48,22,29,,,,31,540,270,290
47,21,28,,,,30,530,260,280
46,21,28,,,,29,520,260,280
45,21,28,,,,28,520,250,270
44,20,27,,,,27,510,250,270
43,20,27,,,,26,500,240,260
42,20,26,,,,25,500,240,250
41,19,26,,,,24,490,230,250
40,19,26,36,36,,23,480,220,240
39,18,25,35,35,,22,470,220,230
38,18,25,34,34,,21,460,210,230
37,17,24,33,33,,20,450,200,220
36,17,24,32,32,,19,440,200,220
35,17,24,31,30,,18,430,190,210
34,16,23,31,29,,17,420,180,210
33,15,23,30,28,,16,410,180,200
32,15,22,29,27,,15,390,170,190
31,15,22,28,26,,14,380,170,190
30,14,21,27,25,,13,370,160,180
29,14,20,26,25,,12,360,160,180
28,14,20,25,24,,11,340,150,170
27,13,19,24,24,,10,330,140,160
26,13,19,23,23,,9,320,140,160
25,13,18,22,23,,8,300,130,150
24,12,18,22,22,,7,290,120,140
23,12,18,21,22,,6,270,120,130
22,12,17,20,21,,5,250,110,120
21,11,17,20,21,,4,240,100,110
20,10,17,19,20,,3,230,100,110
19,10,16,18,19,,2,210,100,100
18,43,16,18,19,,1,200,100,100
17,9,16,17,18,,0,200,100,100
16,9,15,16,17,,,,,
15,8,15,16,17,,,,,
14,8,15,15,16,,,,,
13,7,14,14,15,,,,,
12,7,14,14,15,,,,,
11,6,14,13,14,,,,,
10,6,13,12,13,,,,,
9,5,13,12,12,,,,,
8,5,12,11,11,,,,,
7,4,12,10,10,,,,,
6,4,11,9,9,,,,,
5,3,10,8,8,,,,,
4,2,9,7,7,,,,,
3,2,7,5,6,,,,,
2,1,6,4,4,,,,,
1,1,4,2,3,,,,,
0,1,1,1,1,,,,,
