Exam Name,Section,Question,Answer1,Answer2,Answer3,Answer4
mock exam,reading,Which choice best describes what happens in the passage?,One character argues with another character who intrudes on her home,One character receives a surprising request from another character,One character reminisces about choices she has made over the years,One character criticizes another character for pursuing an unexpected course of action
,reading,"Which choice best describes the developmental
pattern of the passage?",A careful analysis of a traditional practice,A detailed depiction of a meaningful encounter,A definitive response to a series of questions,A cheerful recounting of an amusing anecdote
,reading,"As used in line 1 and line 65, “directly” most nearly means",frankly.,confidently.,without mediation.,with precision.
,reading,Which reaction does Akira most fear from Chie?,She will consider his proposal inappropriate.,She will mistake his earnestness for immaturity.,She will consider his unscheduled visit an imposition.,She will underestimate the sincerity of his emotions.
,reading,Which choice provides the best evidence for the answer to the previous question?,Line 33 (“His voice... refined”),Lines 49-51 (“You... mind”),Lines 63-64 (“Please... proposal”),Lines 71-72 (“Eager... face”)
,writing,,NO CHANGE,defeat,outperform,outweigh
,writing,Which choice provides the most relevant detail?,NO CHANGE,supplement and convert it into gas to use as fuel in electricity production.," supplement, while sweet whey is more desirable
as a food additive for humans."," supplement, which provides an important
element of their diet."
,writing,,NO CHANGE,"can pollute waterway s,","could have polluted waterways,","has polluted waterway’s,"
,writing,,NO CHANGE,scientists: and,"scientists, and","scientists, and,"
,writing,"To make this paragraph most logical, sentence 5 should be placed",where it is now,after sentence 1.,after sentence 2.,after sentence 3.
,math1,"If x k − 1 3 = and k = 3, what is the value of x ?",4,4,9,10
,math1,"For i = −1 , what is the sum (7 + 3 ) + (−8 + 9 ) i i ?",−1 + 12i, −1 − 6i,15 + 12i,15 − 6i
,math1,"On Saturday afternoon, Armand sent m text messages each hour for 5 hours, and Tyrone sent p text messages each hour for 4 hours. Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?",9mp,20mp,5 +4 m p,4 +5 m p
,math1,"Kathy is a repair technician for a phone company. Each week, she receives a batch of phones that need repairs. The number of phones that she has left to fix at the end of each day can be estimated with the equation P d = 108 − 23 , where P is the number of phones left and d is the number of days she has worked that week. What is the meaning of the value 108 in this equation?",Kathy will complete the repairs within 108 days.,Kathy starts each week with 108 phones to fix.,Kathy repairs phones at a rate of 108 per hour.,Kathy repairs phones at a rate of 108 per day.
,math1,Which of the following is equivalent to the expression above?,4x y 2 2,8 −6 xy y 2 2,2 +2 x y xy 2 2,2 +8 −6 x y xy y 2 22
,math2,John runs at different speeds as part of his training program. The graph shows his target heart rate at different times during his workout. On which interval is the target heart rate strictly increasing then strictly decreasing?,Between 0 and 30 minutes,Between 40 and 60 minutes,Between 50 and 65 minutes,Between 70 and 90 minutes
,math2,"If y kx = , where k is a constant, and y = 24 when x = 6, what is the value of y when x = 5 ?",6,15,20,23
,math2,"In the figure above, lines A and m are parallel and lines s and t are parallel. If the measure of ∠1 is 35°, what is the measure of ∠2 ?",35°,55°,70°,145°
,math2,"If 16 + 4x is 10 more than 14, what is the value of 8x ?",2,6,16,80
,math2,Which of the following graphs best shows a strong negative association between d and t ?,A   ,B  ,C ,D
